X,Y,STATION,OPERATOR,DIST,CO
-122.283347881478,37.8740611952077,NORTH BERKELEY,BART,4,ALA
-122.268249538332,37.8696894387081,DOWNTOWN BERKELEY,BART,4,ALA
-122.270118960831,37.8532073793098,ASHBY,BART,4,ALA
-122.251777383442,37.8445096878479,ROCKRIDGE,BART,4,ALA
-122.267120442282,37.8287050487125,MACARTHUR,BART,4,ALA
-122.268386555248,37.8080754158101,19TH STREET/OAKLAND,BART,4,ALA
-122.294898766556,37.8045800580893,WEST OAKLAND,BART,4,ALA
-122.27195775175,37.80259284223,12TH ST/OAKLAND CITY CENTER,BART,4,ALA
-122.265540863576,37.7976792189571,LAKE MERRITT,BART,4,ALA
-122.224197060627,37.7745594454222,FRUITVALE,BART,4,ALA
-122.197180107919,37.7538611227913,COLISEUM/OAKLAND AIRPORT (OAK),BART,4,ALA
-122.161033533543,37.7221912449923,SAN LEANDRO,BART,4,ALA
-121.898490495521,37.7024730393869,DUBLIN/PLEASANTON,"Amtrak,BART",4,ALA
-122.12705986098,37.6975664392993,BAY FAIR,BART,4,ALA
-122.076415724437,37.6907159991619,CASTRO VALLEY,BART,4,ALA
-122.087204122742,37.6701239578162,HAYWARD,BART,4,ALA
-122.057037122395,37.6344830819249,SOUTH HAYWARD,BART,4,ALA
-122.017151030434,37.5908651109505,UNION CITY,BART,4,ALA
-121.977653481127,37.5584336412179,FREMONT,BART,4,ALA
-121.945739498459,38.0189141610917,PITTSBURG/BAY POINT,BART,4,CC
-122.024619816862,38.0031470646822,NORTH CONCORD/MARTINEZ,BART,4,CC
-122.029426325286,37.972413304208,CONCORD,BART,4,CC
-122.352621812973,37.9368089392414,RICHMOND,"Amtrak,BART",4,CC
-122.316894574106,37.9251834816554,EL CERRITO DEL NORTE,BART,4,CC
-122.056015203062,37.9280980684025,PLEASANT HILL/CONTRA COSTA CEN,BART,4,CC
-122.298911709225,37.9026086454111,EL CERRITO PLAZA,BART,4,CC
-122.067482029283,37.9050448015669,WALNUT CREEK,BART,4,CC
-122.125775420975,37.8928844660456,LAFAYETTE,BART,4,CC
-122.183555926687,37.8790827823134,ORINDA,BART,4,CC
-122.396033220569,37.793222202784,EMBARCADERO,BART,4,SF
-122.401539836228,37.7888864228497,MONTGOMERY STREET,BART,4,SF
-122.406823588776,37.7847696616961,POWELL STREET,BART,4,SF
-122.414184530444,37.7789649610388,CIVIC CENTER/ UN PLAZA,BART,4,SF
-122.419456641789,37.7646872112741,16TH STREET & MISSION,BART,4,SF
-122.418304517505,37.7527841674318,24TH STREET & MISSION,BART,4,SF
-122.433959953809,37.7331305377382,GLEN PARK,BART,4,SF
-122.447128586913,37.7216065521721,BALBOA PARK,BART,4,SF
-122.468666388475,37.7067368515674,DALY CITY,BART,4,SM
-122.466201588307,37.6846094131301,COLMA,BART,4,SM
-122.415628725257,37.637331031798,SAN BRUNO,BART,4,SM
-122.391078804644,37.6162864989232,SFO INTERNATIONAL AIRPORT,BART,4,SM
-122.386793925437,37.6003358670771,MILLBRAE,BART,4,SM
-122.444049427213,37.6643060661618,SOUTH SAN FRANCISCO,BART,4,SM
-121.927650259369,37.6998759327816,WEST DUBLIN/PLEASANTON,BART,4,ALA
