X,Y,STATION,OPERATOR,DIST,CO
-13612520.0186629,4561650.12786201,NORTH BERKELEY,BART,4,ALA
-13610839.278792,4561033.62085303,DOWNTOWN BERKELEY,BART,4,ALA
-13611047.3819527,4558709.64249665,ASHBY,BART,4,ALA
-13609005.6068974,4557483.47322203,ROCKRIDGE,BART,4,ALA
-13610713.5883947,4555255.76208696,MACARTHUR,BART,4,ALA
-13610854.5314454,4552348.6714066,19TH STREET/OAKLAND,BART,4,ALA
-13613805.8573079,4551856.19236943,WEST OAKLAND,BART,4,ALA
-13611252.0752215,4551576.21363618,12TH ST/OAKLAND CITY CENTER,BART,4,ALA
-13610537.7504974,4550883.96586226,LAKE MERRITT,BART,4,ALA
-13605935.3794058,4547627.39222961,FRUITVALE,BART,4,ALA
-13602927.8659875,4544712.75990393,COLISEUM/OAKLAND AIRPORT (OAK),BART,4,ALA
-13598904.047734,4540254.746807,SAN LEANDRO,BART,4,ALA
-13569677.8904301,4537480.07466829,DUBLIN/PLEASANTON,"Amtrak,BART",4,ALA
-13595122.115804,4536789.75095277,BAY FAIR,BART,4,ALA
-13589484.4363123,4535826.01919151,CASTRO VALLEY,BART,4,ALA
-13590685.3953181,4532929.63108738,HAYWARD,BART,4,ALA
-13587327.2202007,4527918.43710088,SOUTH HAYWARD,BART,4,ALA
-13582887.1207539,4521788.91361473,UNION CITY,BART,4,ALA
-13578490.2736774,4517233.72919687,FREMONT,BART,4,ALA
-13574937.6253777,4582098.09402277,PITTSBURG/BAY POINT,BART,4,CC
-13583718.5422559,4579870.39697214,NORTH CONCORD/MARTINEZ,BART,4,CC
-13584253.6003262,4575529.47049324,CONCORD,BART,4,CC
-13620231.5574421,4570502.87715771,RICHMOND,"Amtrak,BART",4,CC
-13616254.419404,4568862.13254051,EL CERRITO DEL NORTE,BART,4,CC
-13587213.4606609,4569273.45477769,PLEASANT HILL/CONTRA COSTA CEN,BART,4,CC
-13614252.5760425,4565676.80160241,EL CERRITO PLAZA,BART,4,CC
-13588489.9419168,4566020.49851586,WALNUT CREEK,BART,4,CC
-13594979.1325967,4564305.01172905,LAFAYETTE,BART,4,CC
-13601411.2290703,4562358.3194157,ORINDA,BART,4,CC
-13625064.0932303,4550256.08625733,EMBARCADERO,BART,4,SF
-13625677.0868815,4549645.32208265,MONTGOMERY STREET,BART,4,SF
-13626265.2715247,4549065.44338362,POWELL STREET,BART,4,SF
-13627084.6878028,4548247.85979856,CIVIC CENTER/ UN PLAZA,BART,4,SF
-13627671.5765531,4546237.13277639,16TH STREET & MISSION,BART,4,SF
-13627543.3226646,4544561.13085794,24TH STREET & MISSION,BART,4,SF
-13629286.0778621,4541794.401714,GLEN PARK,BART,4,SF
-13630752.0033937,4540172.46039627,BALBOA PARK,BART,4,SF
-13633149.5804963,4538079.99980785,DALY CITY,BART,4,SM
-13632875.2001968,4534967.00916082,COLMA,BART,4,SM
-13627245.454834,4528318.77739954,SAN BRUNO,BART,4,SM
-13624512.5701724,4525360.88008036,SFO INTERNATIONAL AIRPORT,BART,4,SM
-13624035.579601,4523119.50959665,MILLBRAE,BART,4,SM
-13630409.2329038,4532111.45705554,SOUTH SAN FRANCISCO,BART,4,SM
-13572923.9404933,4537114.674559,WEST DUBLIN/PLEASANTON,BART,4,ALA
