GEOID,medhhinc
06075980401,0
06075990100,0
06075012502,11925
06075012301,13909
06075061100,16545
06075980501,16638
06075017801,16837
06075012501,16902
06075023103,19618
06075012401,20332
06075011800,20478
06075033201,22250
06075010700,22260
06075016100,22793
06075060502,23072
06075017601,23757
06075011300,24781
06075012202,29896
06075980600,29999
06075023102,31434
06075012302,34189
06075023400,34464
06075010600,34808
06075011700,34914
06075020100,36951
06075012402,38333
06075012000,38930
06075017902,40769
06075012201,41677
06075026404,41890
06075023200,42212
06075033204,43412
06075015900,44157
06075026401,46150
06075020900,50078
06075026403,50372
06075061200,51649
06075012100,51676
06075042700,52102
06075060400,52833
06075025800,56250
06075016000,56458
06075026301,56531
06075042601,57472
06075022802,58594
06075023001,58750
06075026003,59792
06075031400,59816
06075011901,59981
06075025702,60836
06075026001,60938
06075010100,61442
06075026100,62652
06075015500,63423
06075023300,65096
06075026004,65862
06075022901,66111
06075011902,66352
06075047901,66437
06075031302,66658
06075020200,66750
06075020800,67295
06075033203,67713
06075047802,68333
06075016200,69875
06075017802,70057
06075035202,70058
06075032602,70560
06075015801,71339
06075045200,72431
06075011100,72500
06075026302,72666
06075047702,72930
06075025403,73159
06075025600,73452
06075047902,73625
06075035300,73669
06075031201,74010
06075047600,74392
06075047701,74412
06075031202,74576
06075026200,75060
06075026303,75096
06075016802,76563
06075040200,77500
06075035201,77850
06075011200,78690
06075025701,78708
06075017700,78712
06075030101,79071
06075047801,79130
06075035400,80260
06075026402,80395
06075032802,80610
06075015802,81250
06075023003,81569
06075042602,82013
06075016500,82232
06075015100,82255
06075033000,82527
06075022903,82656
06075040100,82656
06075045100,82755
06075032901,83309
06075032801,83669
06075026002,84063
06075015600,85253
06075010800,85785
06075016400,86536
06075016300,86940
06075020402,86952
06075025900,87188
06075010300,87721
06075015700,88368
06075025401,88462
06075032902,89568
06075030201,89821
06075015200,91265
06075025500,92216
06075032601,92846
06075025300,93900
06075980900,94000
06075016801,94659
06075025100,95156
06075031301,95449
06075022803,96081
06075021000,96330
06075030202,96547
06075022902,97241
06075035100,99226
06075032700,99712
06075015300,100583
06075016900,101371
06075012601,101875
06075020300,102069
06075013102,102333
06075021700,102431
06075010400,103328
06075016600,103750
06075012902,103810
06075031100,103838
06075010500,105000
06075012700,107689
06075060700,107798
06075030500,107824
06075061000,108977
06075013500,109083
06075011000,109090
06075022801,109141
06075030301,109670
06075030102,110433
06075021500,110500
06075015400,112472
06075010900,113015
06075021600,115500
06075020500,116000
06075010200,117986
06075021100,118221
06075033100,119861
06075030700,120308
06075017102,121500
06075031000,122391
06075021800,123646
06075013101,124043
06075012901,124056
06075013400,125409
06075980300,125750
06075012800,125758
06075017101,126591
06075061500,127080
06075020700,127798
06075025200,128009
06075012602,128750
06075017000,128921
06075021200,130266
06075016700,130865
06075030800,131699
06075030302,132417
06075020600,133750
06075013300,134152
06075022704,134726
06075025402,137721
06075061400,138897
06075020401,139460
06075013200,139669
06075021400,142386
06075042800,143864
06075980200,145000
06075030900,145363
06075030600,145625
06075013000,145871
06075018000,146667
06075030400,150221
06075022702,164135
06075060100,164179
06075021300,171184
06075022600,176875
