ParkName,ParkType,Acreage,ParkID,location,lat,lon
29TH/DIAMOND OPEN SPACE,Neighborhood Park or Playground,0.82,194,"Diamond
San Francisco, CA
(37.74360211, -122.43523589)",37.74360211, -122.43523589
ADAM ROGERS PARK,Neighborhood Park or Playground,2.74,46,"Ingalls
San Francisco, CA
(37.73101645, -122.38385466)",37.73101645, -122.38385466
ALAMO SQUARE,Neighborhood Park or Playground,12.7,117,"Hayes
San Francisco, CA
(37.77634875, -122.43467396)",37.77634875, -122.43467396
ALICE MARBLE TENNIS COURTS,Neighborhood Park or Playground,0.84,151,"Greenwich
San Francisco, CA
(37.80142776, -122.42034327)",37.80142776, -122.42034327
ALLYNE PARK,Neighborhood Park or Playground,0.75,131,"2609 Gough St
San Francisco, CA
(37.79746066, -122.42759992)",37.79746066, -122.42759992
ALTA PLAZA,Neighborhood Park or Playground,11.91,129,"Jackson
San Francisco, CA
(37.79117333, -122.43766978)",37.79117333, -122.43766978
ANGELO J. ROSSI PLAYGROUND,Neighborhood Park or Playground,6.47,105,"2 Willard North St
San Francisco, CA
(37.77874186, -122.45745402)",37.77874186, -122.45745402
APTOS PLAYGROUND,Neighborhood Park or Playground,4.81,65,"Aptos
San Francisco, CA
(37.7285246, -122.46654085)",37.7285246, -122.46654085
ARGONNE PLAYGROUND,Neighborhood Park or Playground,0.82,97,"18th Ave
San Francisco, CA
(37.779415, -122.47769976)",37.779415, -122.47769976
BALBOA NATURAL AREA,Neighborhood Park or Playground,1.84,174,"Balboa
San Francisco, CA
(37.77591285, -122.51103949)",37.77591285, -122.51103949
BALBOA PARK,Neighborhood Park or Playground,24.02,66,"Ocean
San Francisco, CA
(37.72494861, -122.44462659)",37.72494861, -122.44462659
BAY VIEW PLAYGROUND,Neighborhood Park or Playground,3.4,38,"3rd
San Francisco, CA
(37.72593906, -122.39329436)",37.72593906, -122.39329436
BERKELEY WAY OPEN SPACE,Neighborhood Park or Playground,0.83,2,"298 Berkeley Wy
San Francisco, CA
(37.73956697, -122.43995903)",37.73956697, -122.43995903
BERNAL HEIGHTS RECREATION CENTER,Neighborhood Park or Playground,0.74,33,"500 Moultrie
San Francisco, CA
(37.73844636, -122.41615685)",37.73844636, -122.41615685
BILLY GOAT HILL,Neighborhood Park or Playground,3.67,5,"30th
San Francisco, CA
(37.74140787, -122.43319872)",37.74140787, -122.43319872
BROOKS PARK,Neighborhood Park or Playground,3.77,18,"373 Ramsell St
San Francisco, CA
(37.71727397, -122.46676875)",37.71727397, -122.46676875
BUCHANAN STREET MALL,Neighborhood Park or Playground,1.81,121,"Buchanan
San Francisco, CA
(37.77949531, -122.42856481)",37.77949531, -122.42856481
CABRILLO PLAYGROUND,Neighborhood Park or Playground,0.89,95,"858 38th Ave
San Francisco, CA
(37.77286672, -122.49870214)",37.77286672, -122.49870214
CARL LARSEN PARK,Neighborhood Park or Playground,6.58,86,"19th Ave
San Francisco, CA
(37.73929782, -122.47596603)",37.73929782, -122.47596603
CAYUGA PLAYGROUND,Neighborhood Park or Playground,2.69,15,"301 Naglee Ave
San Francisco, CA
(37.71388814, -122.45029719)",37.71388814, -122.45029719
CHINESE RECREATION CENTER,Neighborhood Park or Playground,0.65,140,"1101 Washington St
San Francisco, CA
(37.79420965, -122.41178577)",37.79420965, -122.41178577
CORONA HEIGHTS,Neighborhood Park or Playground,13.38,80,"Roosevelt
San Francisco, CA
(37.76497671, -122.43879691)",37.76497671, -122.43879691
COW HOLLOW PLAYGROUND,Neighborhood Park or Playground,0.15,110,"1 Miley St
San Francisco, CA
(37.79733829, -122.44485143)",37.79733829, -122.44485143
CROCKER AMAZON PLAYGROUND,Neighborhood Park or Playground,56.46,164,"Moscow
San Francisco, CA
(37.7140459, -122.42923866)",37.7140459, -122.42923866
DIAMOND/FARNUM OPEN SPACE,Neighborhood Park or Playground,0.07,181,"Diamond
San Francisco, CA
(37.73880241, -122.43431084)",37.73880241, -122.43431084
DOROTHY ERSKINE PARK,Neighborhood Park or Playground,1.5,179,"Martha
San Francisco, CA
(37.73391249, -122.43944536)",37.73391249, -122.43944536
DOUGLASS PLAYGROUND,Neighborhood Park or Playground,7.45,8,"26th
San Francisco, CA
(37.74727823, -122.43893283)",37.74727823, -122.43893283
DUBOCE PARK,Neighborhood Park or Playground,4.31,113,"Duboce
San Francisco, CA
(37.769615, -122.43342784)",37.769615, -122.43342784
DUNCAN/CASTRO OPEN SPACE,Neighborhood Park or Playground,0.55,178,"Duncan
San Francisco, CA
(37.74594931, -122.43339409)",37.74594931, -122.43339409
DUPONT COURTS,Neighborhood Park or Playground,0.82,98,"336 31st Ave
San Francisco, CA
(37.78268787, -122.4908331)",37.78268787, -122.4908331
EDGEHILL MOUNTAIN,Neighborhood Park or Playground,2.33,71,"Edgehill
San Francisco, CA
(37.74203025, -122.45976472)",37.74203025, -122.45976472
EUREKA VALLEY REC CENTER,Neighborhood Park or Playground,1.93,75,"100 Collingwood St
San Francisco, CA
(37.75978957, -122.43648069)",37.75978957, -122.43648069
EVERSON/DIGBY LOTS,Neighborhood Park or Playground,1.2,6,"61 Everson St
San Francisco, CA
(37.73807643, -122.43177574)",37.73807643, -122.43177574
EXCELSIOR PLAYGROUND,Neighborhood Park or Playground,1.61,29,"Russia Ave
San Francisco, CA
(37.7203554, -122.43321862)",37.7203554, -122.43321862
FAIRMOUNT PLAZA,Neighborhood Park or Playground,0.74,3,"Miquel
San Francisco, CA
(37.73849226, -122.42913147)",37.73849226, -122.42913147
FATHER ALFRED E. BOEDDEKER PARK,Neighborhood Park or Playground,0.97,134,"295 Eddy St
San Francisco, CA
(37.78439513, -122.4120591)",37.78439513, -122.4120591
FAY PARK,Neighborhood Park or Playground,0.25,184,"2366 Leavenworth St
San Francisco, CA
(37.80289031, -122.4178443)",37.80289031, -122.4178443
FRANKLIN SQUARE,Neighborhood Park or Playground,5.18,55,"16th
San Francisco, CA
(37.76501506, -122.4093148)",37.76501506, -122.4093148
FULTON PLAYGROUND,Neighborhood Park or Playground,0.82,96,"855 27th Ave
San Francisco, CA
(37.7733822, -122.48693405)",37.7733822, -122.48693405
GARFIELD SQUARE,Neighborhood Park or Playground,2.93,24,"26th
San Francisco, CA
(37.75020058, -122.4122356)",37.75020058, -122.4122356
GENE FRIEND REC CENTER,Neighborhood Park or Playground,1.02,57,"270 6th St
San Francisco, CA
(37.77863929, -122.40635191)",37.77863929, -122.40635191
GEORGE CHRISTOPHER PLAYGROUND,Neighborhood Park or Playground,6.8,7,"5210 Diamond Heights Blvd
San Francisco, CA
(37.74347014, -122.44055037)",37.74347014, -122.44055037
GILMAN PLAYGROUND,Neighborhood Park or Playground,4.4,44,"Gilman Ave
San Francisco, CA
(37.71698202, -122.38809021)",37.71698202, -122.38809021
GOLDEN GATE HEIGHTS PARK,Neighborhood Park or Playground,6.95,89,"12th Ave (off Pacheco
San Francisco, CA
(37.74998538, -122.46940674)",37.74998538,-122.46940674
GRAND VIEW OPEN SPACE,Neighborhood Park or Playground,0.65,12910,"15th Ave
San Francisco, CA
(37.75507227, -122.47235155)",37.75507227, -122.47235155
GRAND VIEW PARK,Neighborhood Park or Playground,3.98,92,"Moraga
San Francisco, CA
(37.75646571, -122.47180128)",37.75646571, -122.47180128
GRATTAN PLAYGROUND,Neighborhood Park or Playground,1.52,104,"1180 Stanyan St
San Francisco, CA
(37.76259314, -122.45147654)",37.76259314, -122.45147654
HAMILTON REC CENTER,Neighborhood Park or Playground,3.22,125,"1900 Geary Blvd
San Francisco, CA
(37.78441485, -122.43603929)",37.78441485, -122.43603929
HAWK HILL,Neighborhood Park or Playground,4.85,186,"14th Ave Rivera
San Francisco, CA
(37.74657651, -122.46872941)",37.74657651, -122.46872941
HAYES VALLEY PLAYGROUND,Neighborhood Park or Playground,0.61,116,"Hayes
San Francisco, CA
(37.77606034, -122.42736714)",37.77606034, -122.42736714
HELEN WILLS PLAYGROUND,Neighborhood Park or Playground,0.8,130,"BRdway
San Francisco, CA
(37.79577299, -122.42066143)",37.79577299, -122.42066143
HERZ PLAYGROUND,Neighborhood Park or Playground,6.68,137671,"Hahn
San Francisco, CA
(37.71348444, -122.41659732)",37.71348444, -122.41659732
HILLTOP PARK,Neighborhood Park or Playground,3.46,47,"La Salle
San Francisco, CA
(37.73291728, -122.38347479)",37.73291728, -122.38347479
Hunter's Point Recreation Center,Neighborhood Park or Playground,0.3,165,"200 Middle Point Rd
San Francisco, CA
(37.73735, -122.37834)",37.73735, -122.37834
INDIA BASIN SHORELINE PARK,Neighborhood Park or Playground,11.57,48,"Evans
San Francisco, CA
(37.73366342, -122.37371901)",37.73366342, -122.37371901
INTERIOR GREEN BELT,Neighborhood Park or Playground,21.35,87,"Belmont
San Francisco, CA
(37.7585442, -122.45319935)",37.7585442, -122.45319935
J. P. MURPHY PLAYGROUND,Neighborhood Park or Playground,1.23,90,"1960 9th Ave
San Francisco, CA
(37.75180107, -122.46500011)",37.75180107, -122.46500011
JACKSON PLAYGROUND,Neighborhood Park or Playground,4.41,54,"17th
San Francisco, CA
(37.7643148, -122.3996072)",37.7643148, -122.3996072
JAMES ROLPH JR PLAYGROUND,Neighborhood Park or Playground,2.93,50,"Potrero
San Francisco, CA
(37.7497274, -122.40623124)",37.7497274, -122.40623124
JEFFERSON SQUARE,Neighborhood Park or Playground,5.64,122,"Eddy
San Francisco, CA
(37.78180034, -122.42565792)",37.78180034, -122.42565792
JOE DIMAGGIO PLAYGROUND,Neighborhood Park or Playground,2.52,150,"651 Lombard St
San Francisco, CA
(37.80248342, -122.41206911)",37.80248342, -122.41206911
JOSE CORONADO PLAYGROUND,Neighborhood Park or Playground,0.78,60,"21st
San Francisco, CA
(37.75754628, -122.41510589)",37.75754628, -122.41510589
JOSEPH LEE RECREATION CENTER,Neighborhood Park or Playground,0.78,40,"1395 Mendell St
San Francisco, CA
(37.73453491, -122.389412)",37.73453491, -122.389412
JULIUS KAHN PLAYGROUND,Neighborhood Park or Playground,12.38,166,"Pacific Ave
San Francisco, CA
(37.79131306, -122.45397275)",37.79131306, -122.45397275
JUNIPERO SERRA PLAYGROUND,Neighborhood Park or Playground,1.53,13,"300 Stonecrest Dr
San Francisco, CA
(37.72482337, -122.47385187)",37.72482337, -122.47385187
KID POWER PARK,Neighborhood Park or Playground,0.23,191,"45 Hoff St
San Francisco, CA
(37.76415431, -122.42027989)",37.76415431, -122.42027989
KITE HILL,Neighborhood Park or Playground,2.87,74,"Yukon
San Francisco, CA
(37.75824114, -122.44166171)",37.75824114, -122.44166171
KOSHLAND PARK,Neighborhood Park or Playground,0.82,115,"Page
San Francisco, CA
(37.77324835, -122.42672942)",37.77324835, -122.42672942
LAFAYETTE PARK,Neighborhood Park or Playground,11.49,128,"Gough
San Francisco, CA
(37.79154983, -122.42767158)",37.79154983, -122.42767158
LAUREL HILL PLAYGROUND,Neighborhood Park or Playground,1.47,107,"251 Euclid Ave
San Francisco, CA
(37.78393678, -122.45093931)",37.78393678, -122.45093931
LOUIS SUTTER PLAYGROUND,Neighborhood Park or Playground,13.92,137665,"Wayland
San Francisco, CA
(37.72245982, -122.41392441)",37.72245982, -122.41392441
MARGARET S HAYWARD PLAYGROUND,Neighborhood Park or Playground,5.03,119,"1016 Laguna
San Francisco, CA
(37.78084683, -122.425427)",37.78084683, -122.425427
