"School Name","Education Agency","School Location","City","State","Zip","Type of School","School status at time of last report","School Level","County","Grades Offered","Total Students","Full-time-equivalent Classroom Teachers","Student/Teacher Ratio","National School Lunch Program Status","Free and Reduced-price Lunch Eligible Students","Title I Eligible","School-wide Title I","Title I Status","GreatSchools Link","NCES Public School ID","Urban-centric Locale","Magnet School","Charter School","Shared-time School","Virtual School","Reconstituted","Total Students","Prekindergarten Students","Kindergarten Students","Grade 1 Students","Grade 2 Students","Grade 3 Students","Grade 4 Students","Grade 5 Students","Grade 6 Students","Grade 7 Students","Grade 8 Students","Grade 9 Students","Grade 10 Students","Grade 11 Students","Grade 12 Students","High School Students Earning College Credit or CTE Students Beyo","Adult Education Students","Ungraded Students","White, Non-Hispanic Students","Hispanic Students","Black, Non-Hispanic Students","Asian, Non-Hispanic Students","American Indian/Alaska Native Students","Hawaiian Native/Pacific Islander Students","Two or More Races Students","Percent White, Non-Hispanic","Percent Hispanic","Percent Black, Non-Hispanic","Percent Asian, Non-Hispanic","Percent American Indian/Alaska Native","Percent Hawaiian Native/Pacific Islander","Percent Two or More Races","All Female High School","Majority Minority High School","Inner City High School"
"California School for the Deaf-Fremont","California School for the Deaf-Fremont (State Special Schl)","39350 Gallaudet Dr.","Fremont","CA","94538","Special Education School","Open","Other","Alameda County","Kindergarten, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","375","73.91","5.07","No","372","Unknown","","","http://www.greatschools.net/modperl/browse_school/CA/2297","060000310347","Suburban, Large","","","","","","375","","36","26","24","22","40","32","60","48","52","84","82","92","152","","0","","174","382","58","88","","4","44","23.20","50.93","7.73","11.73","","0.53","5.87","","",""
"Dublin Elementary","Dublin Unified","7997 Vomac Rd.","Dublin","CA","94568","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","894","33.60","26.61","No","111","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/55","060001906929","Suburban, Large","","","","","","894","","350","300","296","294","290","258","","","","","","","","","0","","582","296","50","658","12","20","170","32.55","16.55","2.80","36.80","0.67","1.12","9.51","","",""
"James Dougherty Elementary","Dublin Unified","5301 Hibernia Dr.","Dublin","CA","94568","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","957","38.80","24.66","No","34","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/1914","060001908443","Suburban, Large","","","","","","957","","512","280","280","272","306","264","","","","","","","","","0","","258","142","20","1368","4","","122","13.48","7.42","1.04","71.47","0.21","","6.37","","",""
"Dublin High","Dublin Unified","8151 Village Pkwy.","Dublin","CA","94568","Regular School","Open","High","Alameda County","9, 10, 11, 12","2750","113.60","24.21","No","335","Title I Eligible School","Not School-wide Title I","Title I targeted assistance eligible school-No program","http://www.greatschools.net/modperl/browse_school/CA/56","060001909273","Suburban, Large","","","","","","2750","","","","","","","","","","","1580","1510","1298","1098","","0","14","1422","714","258","2586","6","24","490","25.85","12.98","4.69","47.02","0.11","0.44","8.91","Not all female high school","Majority minority high school","Not inner city high school"
"Valley High (Continuation)","Dublin Unified","6901 York Dr.","Dublin","CA","94568","Alternative School","Open","High","Alameda County","9, 10, 11, 12","56","8.10","6.91","No","28","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/60","060001909274","Suburban, Large","","","","","","56","","","","","","","","","","","0","6","40","66","","0","","38","32","16","12","0","0","14","33.93","28.57","14.29","10.71","0.00","0.00","12.50","Not all female high school","Majority minority high school","Not inner city high school"
"Frederiksen Elementary","Dublin Unified","7243 Tamarack Dr.","Dublin","CA","94568","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","813","30.80","26.40","No","161","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/57","060001909275","Suburban, Large","","","","","","813","","236","304","286","220","312","268","","","","","","","","","0","","458","330","100","550","6","2","180","28.17","20.30","6.15","33.83","0.37","0.12","11.07","","",""
"Murray Elementary","Dublin Unified","8435 Davona Dr.","Dublin","CA","94568","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","522","24.50","21.31","No","88","Title I Eligible School","Not School-wide Title I","Title I targeted assistance school","http://www.greatschools.net/modperl/browse_school/CA/58","060001909276","Suburban, Large","","","","","","522","","316","156","146","144","146","136","","","","","","","","","0","","346","216","34","326","2","8","112","33.14","20.69","3.26","31.23","0.19","0.77","10.73","","",""
"John Green Elementary","Dublin Unified","3300 Antone Way","Dublin","CA","94568","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","851","33.10","25.71","No","32","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/7572","060001912078","Suburban, Large","","","","","","851","","248","262","218","322","324","328","","","","","","","","","0","","228","96","18","1230","","6","124","13.40","5.64","1.06","72.27","","0.35","7.29","","",""
"Harold William Kolb","Dublin Unified","3150 Palermo Way","Dublin","CA","94568","Regular School","Open","Primary","Alameda County","Kindergarten, 1, 2, 3, 4, 5","948","37.00","25.62","No","76","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/5805","060001912927","Rural, Fringe","","","","","","948","","310","360","324","316","306","280","","","","","","","","","0","","230","114","50","1360","24","6","112","12.13","6.01","2.64","71.73","1.27","0.32","5.91","","",""
"Eleanor Murray Fallon","Dublin Unified","3601 Kohnen Way","Dublin","CA","94568","Regular School","Open","Middle","Alameda County","6, 7, 8","1506","61.70","24.41","No","75","Not Title I Eligible School","","Not a Title I school","http://www.greatschools.net/modperl/browse_school/CA/4244","060001913169","Suburban, Large","","","","","","1506","","","","","","","","1082","998","932","","","","","","0","","442","166","74","2128","8","","194","14.67","5.51","2.46","70.65","0.27","","6.44","","",""
