X,Y,Site,Address,City,State,Type,API,Org
567066.181810719,4177769.39913162,Amelia Earhart Elementary,400 Packet Landing Rd,Alameda,CA,ES,"933",Public
565917.668716551,4177120.51011056,Bay Farm Elementary,200 Aughinbaugh Way,Alameda,CA,ES,"932",Public
565275.38229093,4179673.90924247,Donald D. Lum Elementary,1801 Sandcreek Way,Alameda,CA,ES,"853",Public
567393.045752754,4180045.19779919,Edison Elementary,2700 Buena Vista Ave,Alameda,CA,ES,"927",Public
567118.089458989,4178790.63417888,Frank Otis Elementary,3010 Fillmore St,Alameda,CA,ES,"894",Public
565035.525594539,4180454.33538414,Franklin Elementary,1433 San Antonio Ave,Alameda,CA,ES,"893",Public
565957.939646346,4180504.57584633,Henry Haight Elementary,2025 Santa Clara Ave,Alameda,CA,ES,"821",Public
562860.754765686,4181858.40079223,Ruby Bridges Elementary,351 Jack London Ave,Alameda,CA,ES,"802",Public
564097.229977318,4180815.19056016,Washington Elementary,825 Taylor Ave,Alameda,CA,ES,"777",Public
563024.831652799,4180702.14191484,William G. Paden Elementary,444 Central Ave,Alameda,CA,ES,"844",Public
562892.209098626,4181265.91440715,Chipman Middle,401 Pacific Ave,Alameda,CA,MS,"740",Public
567566.855284339,4178556.80952333,Lincoln Middle,1250 Fernside,Alameda,CA,MS,"893",Public
565018.686883,4179777.6528158,Will C. Wood Middle,420 Grand St,Alameda,CA,MS,"768",Public
562497.968391047,4180927.63436505,Alameda Community Learning Center,210 Central Ave,Alameda,CA,HS,"826",Public
566233.40674456,4179937.00707759,Alameda High,2201 Encinal Ave,Alameda,CA,HS,"812",Public
563355.794325598,4181645.65928524,Alameda Science and Technology Institute,555 Atlantic Ave,Alameda,CA,HS,"844",Public
562497.968391047,4180927.63436505,Encinal High,210 Central Ave,Alameda,CA,HS,"747",Public
562717.825713179,4181492.095355,Bay Area School of Enterprise,1900 Third St,Alameda,CA,Small Schools,"0",Public
562879.597954679,4182398.38534075,Island High (Continuation),250 Singleton Ave,Alameda,CA,ASAM,"0",Public
563215.627344931,4181230.47207697,Nea Community Learning Center,500 Pacific Ave.,Alameda,CA,K-12,"0",Public
561462.434591325,4193564.74907754,Cornell Elementary,1000 Jackson Street,Albany,CA,ES,"901",Public
562600.32425283,4193687.11136947,Marin Elementary,1001 Santa Fe Avenue,Albany,CA,ES,"925",Public
561462.434591325,4193564.74907754,Ocean View Elementary,1000 Jackson Street,Albany,CA,ES,"917",Public
561965.359625288,4194724.07062786,Albany Middle,1259 Brighton Avenue,Albany,CA,MS,"881",Public
562206.800375491,4194584.20111461,Albany High,603 Key Route Boulevard,Albany,CA,HS,"806",Public
561294.78776798,4194198.14147297,MacGregor High (Continuation),720 Jackson Street,Albany,CA,ASAM,"0",Public
564121.975968031,4192360.71065874,Berkeley Arts Magnet at Whittier,2015 Virginia St,Berkeley,CA,ES,"829",Public
564375.478418771,4194326.52073872,Cragmont Elementary,830 Regal Road,Berkeley,CA,ES,"843",Public
565882.527677941,4190703.20728997,Emerson Elementary,2800 Forest Ave,Berkeley,CA,ES,"842",Public
562866.348649787,4192615.43328153,Jefferson Elementary,1400 Ada Street,Berkeley,CA,ES,"864",Public
566342.003778943,4190234.91025873,John Muir Elementary,2955 Claremont Ave,Berkeley,CA,ES,"805",Public
564890.847129477,4190253.25114619,Leconte Elementary,2241 Russell Street,Berkeley,CA,ES,"748",Public
563890.567587358,4189673.62803989,Malcolm X Elementary,1731 Prince St,Berkeley,CA,ES,"834",Public
564323.162345784,4193636.57499456,Oxford Elementary,1130 Oxford Street,Berkeley,CA,ES,"875",Public
562038.35762972,4191134.27906448,Rosa Parks Environmental Science Magnet,920 Allston Way,Berkeley,CA,ES,"735",Public
563263.105508873,4194192.13188613,Thousand Oaks Elementary,840 Colusa,Berkeley,CA,ES,"824",Public
563995.948829386,4191308.34181472,Washington Elementary,2300 M L King Jr. Way,Berkeley,CA,ES,"811",Public
563336.072427981,4190371.83400303,Longfellow Arts and Technology Middle,1500 Derby Street,Berkeley,CA,MS,"784",Public
563577.733318134,4192879.36340173,Martin Luther King Middle,1781 Rose Street,Berkeley,CA,MS,"779",Public
565212.37773112,4190512.25250464,Willard Middle,2425 Stuart Street,Berkeley,CA,MS,"772",Public
563988.207929716,4191459.58343721,Berkeley High,2223 Martin Luther King Jr. Way,Berkeley,CA,HS,"0",Public
564081.123063321,4190501.35048107,Berkeley Technology Academy,2701 Martin Luther King Jr. Way,Berkeley,CA,Small Schools,"0",Public
581004.128472124,4172721.4416481,Castro Valley Elementary,20185 San Miguel Avenue,Castro Valley,CA,ES,"838",Public
580210.363801017,4173707.59571175,Chabot Elementary,19104 Lake Chabot Road,Castro Valley,CA,ES,"898",Public
583806.260124024,4172723.45419993,Independent Elementary,21201 Independent School Road,Castro Valley,CA,ES,"942",Public
585422.176769737,4174415.49923376,Jensen Ranch Elementary,20001 Carson Lane,Castro Valley,CA,ES,"992",Public
582354.822465516,4172763.73896358,Marshall Elementary,20111 Marshall St.,Castro Valley,CA,ES,"842",Public
581651.29533513,4174790.46877481,Proctor Elementary,17520 Redwood Road,Castro Valley,CA,ES,"896",Public
579911.132991589,4172923.3454571,Stanton Elementary,2644 Somerset Avenue,Castro Valley,CA,ES,"853",Public
582975.064021718,4173692.00672138,Vannoy Elementary,5100 Vannoy Ave,Castro Valley,CA,ES,"904",Public
583374.088906793,4173590.24875799,Canyon Middle,19600 Cull Canyon Rd,Castro Valley,CA,MS,"851",Public
582765.386619888,4172938.48378532,Creekside Middle,19722 Center Street,Castro Valley,CA,MS,"875",Public
581247.509693518,4173531.13002222,Castro Valley High,19400 Santa Maria Avenue,Castro Valley,CA,HS,"803",Public
581837.806626896,4173808.38815124,Roy A. Johnson High,4430 Alma Avenue,Castro Valley,CA,HS,"0",Public
586001.378338989,4172465.6073134,Palomares Elementary,6395 Palo Verde Road,Castro Valley,CA,Small Schools,"0",Public
579941.751493232,4174346.63545882,Redwood Alternative High,18400 Clifton Way,Castro Valley,CA,ASAM,"0",Public
579941.751493232,4174346.63545882,Redwood Continuation High,18400 Clifton Way,Castro Valley,CA,ASAM,"0",Public
593708.734020387,4174655.10040968,Dublin Elementary,7997 Vomac Rd,Dublin,CA,ES,"870",Public
600105.560276028,4174797.0652121,Eleanor Murray Fallon,3601 Kohnen Wy.,Dublin,CA,ES,"900",Public
594995.328275717,4174730.6821103,Frederiksen Elementary,7243 Tamarack Dr,Dublin,CA,ES,"832",Public
598277.378945059,4174267.13499717,James Dougherty Elementary,5301 Hibernia Dr,Dublin,CA,ES,"944",Public
600552.401735446,4175211.66299066,John Green Elementary,3300 Antone Way,Dublin,CA,ES,"925",Public
594062.735236502,4175452.49087424,Murray Elementary,8435 Davona Dr.,Dublin,CA,ES,"836",Public
595297.365415771,4174250.15911416,Wells Middle,6800 Penn Dr.,Dublin,CA,MS,"795",Public
594628.633577383,4175321.24482489,Dublin High,8151 Village Pkwy,Dublin,CA,HS,"842",Public
595092.930649909,4174103.10053038,Valley High (Continuation),6901 York Dr.,Dublin,CA,ASAM,"0",Public
563418.838337817,4187438.73766418,Anna Yates Elementary,1070 41st Street,Emeryville,CA,ES,"773",Public
563242.445979235,4187837.52313049,Emery Secondary,1100 47th Street,Emeryville,CA,HS,"650",Public
583693.59596478,4158837.64681151,Ardenwood Elementary,33955 Emilia Lane,Fremont,CA,ES,"941",Public
589687.772053015,4155242.98245619,Brier Elementary,39201 Sundale Drive,Fremont,CA,ES,"819",Public
587071.193261293,4158418.36614172,Brookvale Elementary,3400 Nicolet Ave,Fremont,CA,ES,"867",Public
586267.26477979,4156440.13973803,Cabrillo Elementary,36700 San Pedro Drive,Fremont,CA,ES,"799",Public
592655.270008864,4153070.18503749,E. M. Grimmer Elementary,43030 Newport Drive,Fremont,CA,ES,"800",Public
583731.856235613,4157564.73791994,Forest Park Elementary,34400 Maybird Circle,Fremont,CA,ES,"964",Public
594707.458068294,4151682.27069078,Fred E. Weibel Elementary,45135 S. Grimmer Blvd,Fremont,CA,ES,"973",Public
587913.90486622,4155871.64926592,Glenmoor Elementary,4620 Mattos Drive,Fremont,CA,ES,"864",Public
